var,count
data,6
delay.dat.houston,2
airport.dat,2
set1,2
x,2
X,2
my.mean,2
auto.data,2
m,2
g,2
m1,2
g2,2
m3,2
hospitals,2
txt,2
Weight,2
mean,2
sd,2
rightSkewed,2
leftSkewed,2
prob,2
lower,2
upper,2
DelayDataLocation,1
AirDataLocation,1
delay.dat.houston.jan,1
weekend.data,1
alldest,1
people.info,1
occup.info,1
ElapsedDiffernce,1
PercentCancelled,1
set0,1
set2,1
set3,1
newtst,1
my.vector,1
the,1
my.number,1
mynumber,1
my.int,1
my.vec,1
y,1
w,1
z,1
my.matrix,1
my.list,1
named.list,1
n,1
R,1
Reig,1
Reig.vecs,1
pc1,1
pc2,1
their.pcs,1
factor1,1
mf.strings,1
factor2,1
my.df,1
age.logic,1
age.sq,1
my.iris,1
setosa.inds,1
assignment,1
return.me,1
ans,1
retrun.me,1
my.summary,1
tmp,1
sexDummy,1
sexFactor,1
tt,1
prop.male.pizza,1
prop.female.pizza,1
sexFactorFlipped,1
m.factor,1
m.flipped,1
ProbofPizza,1
ProbofPizza2,1
Nonsense,1
Nonsense2,1
Q3.m3,1
Region,1
Med.school,1
hospitals_num,1
panel.cor,1
usr,1
r,1
cex,1
test,1
Signif,1
lm,1
lm1,1
lm2,1
my.model,1
factorMed.School,1
model,1
normalData,1
Sex1,1
femaleData,1
maleData,1
surviveData,1
surviveFemale,1
surviveMale,1
m2,1
data.formatted500,1
Class.Size.Precise,1
f,1
outliers,1
values,1
heightsOfBoys,1
heightsOfGirls,1
heightsOfFathers,1
heightsOfMothers,1
means,1
